,Khammam
2016-01-01,47.0
2016-02-01,51.0
2016-03-01,54.0
2016-04-01,51.0
2016-05-01,47.0
2016-06-01,47.0
2016-07-01,41.0
2016-08-01,37.0
2016-09-01,39.0
2016-10-01,48.0
2016-11-01,55.0
2016-12-01,60.0
2017-01-01,60.0
2017-02-01,64.0
2017-03-01,54.0
2017-04-01,55.0
2017-05-01,57.0
2017-06-01,42.0
2017-07-01,41.0
2017-08-01,53.0
2017-09-01,50.0
2017-10-01,63.0
2017-11-01,54.0
2017-12-01,60.0
2018-01-01,64.0
2018-02-01,68.0
2018-03-01,71.0
2018-04-01,77.0
2018-05-01,77.0
2018-06-01,83.0
2018-07-01,75.0
2018-08-01,79.0
2018-09-01,84.0
2018-10-01,85.0
2018-11-01,92.0
2018-12-01,88.0
2019-01-01,94.0
2019-02-01,90.0
2019-03-01,91.0
2019-04-01,90.0
2019-05-01,88.0
2019-06-01,81.0
2019-07-01,77.0
2019-08-01,84.0
2019-09-01,78.0
2019-10-01,86.0
2019-11-01,85.0
2019-12-01,84.0
2020-01-01,88.0
2020-02-01,84.0
2020-03-01,83.0
2020-04-01,80.0
2020-05-01,63.0
2020-06-01,48.0
2020-07-01,70.0
2020-08-01,37.0
2020-09-01,52.0
2020-10-01,62.0
2020-11-01,83.0
2020-12-01,95.0
2021-01-01,100.0
2021-02-01,84.0
2021-03-01,68.0
2021-04-01,54.0
2021-05-01,70.72131147540983
2021-06-01,88.0
2021-07-01,69.0
2021-08-01,67.0
2021-09-01,85.0
2021-10-01,61.0
2021-11-01,86.0
2021-12-01,78.0
2022-01-01,80.0
2022-02-01,78.0
2022-03-01,77.0
2022-04-01,79.0
2022-05-01,77.0
2022-06-01,81.0
2022-07-01,73.0
2022-08-01,58.0
2022-09-01,42.0
2022-10-01,57.0
2022-11-01,78.0
2022-12-01,115.0
2023-01-01,107.00676758829411
2023-02-01,94.47084511613198
2023-03-01,85.6334714102545
2023-04-01,79.14408442475093
2023-05-01,81.22515624690911
2023-06-01,84.41860666386782
2023-07-01,79.04417476182361
2023-08-01,70.24481398270521
2023-09-01,77.39169499639935
2023-10-01,74.12950841347008
2023-11-01,91.95732039056328
2023-12-01,97.37418242043503
