,Nizamabad
2016-01-01,62.0
2016-02-01,64.0
2016-03-01,66.0
2016-04-01,68.0
2016-05-01,69.0
2016-06-01,38.0
2016-07-01,57.0
2016-08-01,58.0
2016-09-01,56.0
2016-10-01,64.0
2016-11-01,60.0
2016-12-01,62.0
2017-01-01,61.0
2017-02-01,62.0
2017-03-01,63.0
2017-04-01,67.0
2017-05-01,68.0
2017-06-01,63.0
2017-07-01,57.0
2017-08-01,60.0
2017-09-01,59.0
2017-10-01,61.0
2017-11-01,61.0
2017-12-01,59.0
2018-01-01,61.0
2018-02-01,61.0
2018-03-01,66.0
2018-04-01,70.0
2018-05-01,54.0
2018-06-01,64.0
2018-07-01,59.0
2018-08-01,60.0
2018-09-01,64.0
2018-10-01,48.0
2018-11-01,60.0
2018-12-01,62.0
2019-01-01,64.0
2019-02-01,61.0
2019-03-01,61.0
2019-04-01,62.0
2019-05-01,64.0
2019-06-01,69.0
2019-07-01,72.0
2019-08-01,71.0
2019-09-01,61.0
2019-10-01,69.0
2019-11-01,62.0
2019-12-01,66.0
2020-01-01,64.0
2020-02-01,64.0
2020-03-01,66.0
2020-04-01,38.0
2020-05-01,50.0
2020-06-01,52.0
2020-07-01,63.0
2020-08-01,60.0
2020-09-01,62.0
2020-10-01,62.0
2020-11-01,63.0
2020-12-01,81.0
2021-01-01,69.0
2021-02-01,68.0
2021-03-01,66.0
2021-04-01,69.0
2021-05-01,41.0
2021-06-01,47.60655737704918
2021-07-01,54.0
2021-08-01,45.0
2021-09-01,43.0
2021-10-01,59.0
2021-11-01,66.0
2021-12-01,57.0
2022-01-01,56.0
2022-02-01,59.0
2022-03-01,64.0
2022-04-01,58.0
2022-05-01,56.0
2022-06-01,54.0
2022-07-01,46.0
2022-08-01,53.0
2022-09-01,54.0
2022-10-01,63.0
2022-11-01,56.0
2022-12-01,59.0
2023-01-01,62.64192098991161
2023-02-01,60.80908861825837
2023-03-01,54.683635955686626
2023-04-01,65.58231223775877
2023-05-01,41.68003415225258
2023-06-01,73.62716399171629
2023-07-01,44.952892564700925
2023-08-01,56.16052412371128
2023-09-01,51.75043609378762
2023-10-01,57.8053985454967
2023-11-01,60.44023529315559
2023-12-01,58.51773880075264
