,"Kuda, warangal"
2016-01-01,73
2016-02-01,72
2016-03-01,68
2016-04-01,74
2016-05-01,76
2016-06-01,72
2016-07-01,57
2016-08-01,44
2016-09-01,48
2016-10-01,62
2016-11-01,56
2016-12-01,83
2017-01-01,73
2017-02-01,70
2017-03-01,65
2017-04-01,74
2017-05-01,71
2017-06-01,63
2017-07-01,59
2017-08-01,56
2017-09-01,68
2017-10-01,59
2017-11-01,65
2017-12-01,70
2018-01-01,105
2018-02-01,94
2018-03-01,80
2018-04-01,82
2018-05-01,83
2018-06-01,85
2018-07-01,71
2018-08-01,76
2018-09-01,80
2018-10-01,87
2018-11-01,95
2018-12-01,87
2019-01-01,88
2019-02-01,90
2019-03-01,90
2019-04-01,94
2019-05-01,92
2019-06-01,88
2019-07-01,89
2019-08-01,82
2019-09-01,76
2019-10-01,91
2019-11-01,88
2019-12-01,90
2020-01-01,92
2020-02-01,88
2020-03-01,65
2020-04-01,38
2020-05-01,41
2020-06-01,42
2020-07-01,57
2020-08-01,67
2020-09-01,51
2020-10-01,59
2020-11-01,85
2020-12-01,59
2021-01-01,78
2021-02-01,85
2021-03-01,57
2021-04-01,58
2021-05-01,43
2021-06-01,44
2021-07-01,86
2021-08-01,40
2021-09-01,64
2021-10-01,49
2021-11-01,58
2021-12-01,55
2022-01-01,58
2022-02-01,64
2022-03-01,49
2022-04-01,66
2022-05-01,54
2022-06-01,72
2022-07-01,40
2022-08-01,43
2022-09-01,41
2022-10-01,64
2022-11-01,49
2022-12-01,116
2023-01-01,84.92963871817743
2023-02-01,84.22277327878959
2023-03-01,71.36524626874272
2023-04-01,72.96062363343457
2023-05-01,69.12183352862945
2023-06-01,69.87116607134331
2023-07-01,68.7630022516076
2023-08-01,61.38675720568318
2023-09-01,64.14806372261022
2023-10-01,70.20443484891184
2023-11-01,73.71265011281517
2023-12-01,82.77561937630735
